lb,rp,top_n,cagr,sharpe,max_dd,final_val
4,3,1,0.20941273383685033,0.7584599968952856,-0.33992901314688156,1935470.401668078
4,3,2,0.16533971377279455,0.6688573868112743,-0.3477891891985236,1085305.9703842374
4,4,1,0.17616540367466982,0.6034666897517824,-0.4029248180212636,1253523.7809972852
4,4,2,0.13882324808886914,0.5045179504155856,-0.34359530141155686,758189.4211310123
4,5,1,0.18431002129605445,0.6690337168449226,-0.23825976007820812,1395840.7781922184
4,5,2,0.16749996755487317,0.7711385056870279,-0.1857811998399178,1117085.2974826843
4,6,1,0.197901360013244,0.7058810537248962,-0.3399290131468816,1667483.276088031
4,6,2,0.16892540216559704,0.6635198429719565,-0.32235648875606887,1138529.387881818
4,8,1,0.14530519263498798,0.5001196117172224,-0.23454035494508566,828302.8650372871
4,8,2,0.156466938261425,0.756650292959142,-0.15706329970218388,963443.0182015745
4,12,1,0.18906214634377738,0.6301669487079327,-0.33992901314688156,1485722.2494839802
4,12,2,0.17774282509709072,0.6837068904602076,-0.3223564887560689,1279979.7923010709
5,1,1,0.143487289600011,0.45026949368868274,-0.3174568840219148,808050.3194934212
5,1,2,0.1425220169850614,0.6168938968426083,-0.20471015712385252,797485.8860079973
5,2,1,0.14226684580556492,0.42213114837857285,-0.4704124246804644,794714.8428477731
5,2,2,0.1343898013887177,0.4894516756078618,-0.3702568626283833,713476.0240399028
5,3,1,0.18491433482452013,0.6296570767951888,-0.40086502494040505,1406981.4083629816
5,3,2,0.14922836625260238,0.5679285954179388,-0.3453298515260525,873639.1472089336
5,4,1,0.17842107771646742,0.6198801584485001,-0.4029248180212633,1291515.0979535184
5,4,2,0.14555266516637433,0.5723067934689128,-0.34359530141155675,831096.3071665496
5,5,1,0.13872020243148064,0.4364947485287138,-0.23825976007820812,757121.0431364264
5,5,2,0.15408774164777106,0.6876963873759832,-0.16605068700885148,933014.5248935292
5,6,1,0.15382866735246314,0.4853254294078249,-0.34429617280288544,929755.9813940229
5,6,2,0.14115885254092309,0.4983290496127882,-0.3284598312157617,782786.7186825976
5,8,1,0.15437965959003974,0.5526106569270796,-0.2521125219993947,936698.9684336041
5,8,2,0.14934417203578643,0.7096741945592718,-0.1628269736284686,875012.036419875
5,12,1,0.23404833012344062,0.842745403738476,-0.33992901314688156,2650083.9309894964
5,12,2,0.18083491286090947,0.7212650018397765,-0.3223564887560688,1333362.1875147484
6,1,1,0.1812373870544033,0.609257495682496,-0.40217690946084017,1340461.838794706
6,1,2,0.13870073619000478,0.5620145805481555,-0.26960856126695565,756919.3753068594
6,2,1,0.19620638997025197,0.7681854693333003,-0.19755333015033993,1631092.8070686301
6,2,2,0.1400832124353506,0.5669141696285203,-0.21860764509957636,771367.3456289107
6,3,1,0.20031161729970592,0.7928757871697889,-0.1957317316280503,1720540.820493926
6,3,2,0.1625466316220352,0.7354495319914179,-0.1932437558943816,1045470.5141253355
6,4,1,0.18423546853158168,0.7266919051528937,-0.2213170911065402,1394472.11920277
6,4,2,0.143702620960799,0.6020048393455211,-0.2255270397292045,810424.8138390058
6,5,1,0.1688536907489402,0.5961653256568034,-0.28386929571165276,1137441.4305865716
6,5,2,0.13930744208968648,0.5817427420423232,-0.20187960001376207,763228.4641477342
6,6,1,0.23369339794586352,1.0745056762042702,-0.19819028439912073,2638231.0855167364
6,6,2,0.1857165066189186,0.8664710146730913,-0.21253454796838012,1421898.160320605
6,8,1,0.21864319829319245,0.8830962564067036,-0.25211252199939466,2178929.597905087
6,8,2,0.1693810770840054,0.859090312127006,-0.17347922737286411,1145465.3677635065
6,12,1,0.23765151168496135,1.0435997434426616,-0.16376090243996538,2773264.9897326706
6,12,2,0.17961107072951266,0.8180410346146564,-0.17630929525926262,1311989.1795427543
7,1,1,0.1728717207440742,0.6040677737898318,-0.26656593950825613,1199924.3320475419
7,1,2,0.15145901211608415,0.6370122654689223,-0.21473298221093534,900441.556886869
7,2,1,0.16772048195085998,0.5920012587738577,-0.35973538965613394,1120377.7914645965
7,2,2,0.1576803161640743,0.6937917835118236,-0.23943938808109652,979316.5985248317
7,3,1,0.1720291807369425,0.5936105162526677,-0.2643239131861856,1186562.0437232496
7,3,2,0.16545583109828677,0.7224269448879727,-0.16824943302288636,1086992.4170005491
7,4,1,0.13497428747054974,0.42252246504298124,-0.24982652015229453,719226.2376779243
7,4,2,0.14476866866928395,0.6136164215443936,-0.16966498484261727,822276.7896191378
7,5,1,0.15036537567155217,0.4986141336115792,-0.28386929571165276,887206.2140164096
7,5,2,0.16639390274451693,0.7419794113319776,-0.2128070179410138,1100706.8470611323
7,6,1,0.16474738727551386,0.5959142047843785,-0.23519359619200653,1076741.2678886096
7,6,2,0.19055469082047138,0.913116527891109,-0.21253454796838012,1515051.440193103
7,8,1,0.13732474789648075,0.44031129684753284,-0.23454035494508552,742790.988506795
7,8,2,0.15160780830034137,0.654650809613448,-0.17662272150212735,902256.5227712693
7,12,1,0.09658261454282191,0.22005204388557853,-0.27980787188339784,420705.1233020233
7,12,2,0.1669383912912874,0.7346705819194661,-0.18215305886543057,1108741.2649730027
8,1,1,0.15295593296995924,0.47956911645803274,-0.37239938900224184,918857.2375345429
8,1,2,0.13428805969538882,0.5239171100608326,-0.2340072245802408,712479.4894096915
8,2,1,0.1680648034510519,0.5609484519516261,-0.3641637125313112,1125537.012101228
8,2,2,0.15922803718964396,0.7026539899843345,-0.21782929561626047,999919.3937074598
8,3,1,0.19312650456996994,0.6918308979575032,-0.27978789140272126,1566863.5900613072
8,3,2,0.17579692461668217,0.7943112039468572,-0.18693653769692908,1247417.939562911
8,4,1,0.16336755816428372,0.5778740191272279,-0.22295886911931959,1057034.3954801343
8,4,2,0.14852677282065208,0.6264031590845751,-0.20713045999443647,865364.6920673324
8,5,1,0.1877215812582631,0.6976279804560996,-0.28386929571165276,1459833.2851554414
8,5,2,0.16381015651922093,0.7155390073899047,-0.18802053500183616,1063318.559327731
8,6,1,0.1821729603305069,0.6809650848694484,-0.23519359619200653,1357102.2988560912
8,6,2,0.19758168106125873,0.9380695054697925,-0.21253454796838012,1660562.2587226536
8,8,1,0.15093521625364636,0.5198764682136101,-0.22072626767974005,894079.6177306676
8,8,2,0.14336586196028245,0.5895637721663266,-0.17662272150212735,806714.1894388492
8,12,1,0.11922347338561123,0.3472764315189025,-0.2798078718833981,578478.1450036991
8,12,2,0.16429226093936866,0.7082763129958863,-0.18444016761524082,1070203.4177101846
9,1,1,0.13052455331264867,0.3692831528618075,-0.39315563574101836,676518.9788110753
9,1,2,0.13426316929330118,0.5151782376399088,-0.27876523149588905,712235.8924908446
9,2,1,0.15469725084970976,0.5103174872714366,-0.366380072119211,940722.9104692843
