StartCap,Slots,Alloc%,TP%,SL%,1YrFinalCap,Return%,WinRate%,MaxDD%,Trades,HitCrore
500000.0,2,50.0,1.5,1.0,955247.6207334396,91.04952414668792,54.39429928741093,50.0,421,False
500000.0,3,33.3,1.5,1.0,936475.5143229488,87.29510286458975,56.443719412724306,48.14814814814814,613,False
500000.0,3,33.3,2.0,1.0,928227.2081794837,85.64544163589673,47.04861111111111,48.885084385683875,576,False
500000.0,2,50.0,3.0,1.0,910447.1030320488,82.08942060640976,35.215053763440864,50.1433268278523,372,False
500000.0,5,20.0,1.5,1.0,909080.7784945128,81.81615569890255,56.99999999999999,43.040000000000006,1000,False
500000.0,5,20.0,2.0,1.0,904364.8207185124,80.87296414370249,47.6545842217484,43.51123157827471,938,False
500000.0,5,20.0,2.5,1.0,894837.2162825109,78.96744325650218,40.67039106145251,46.16375061882818,895,False
500000.0,3,33.3,3.0,1.0,894350.313025183,78.87006260503662,35.17495395948435,48.73887872265465,543,False
500000.0,2,50.0,1.0,1.0,869306.2337377535,73.8612467475507,65.21739130434783,50.0,437,False
500000.0,3,33.3,1.0,1.0,857563.6047272332,71.51272094544663,67.28971962616822,48.148148148148145,642,False
500000.0,5,20.0,3.0,1.0,848513.9915144317,69.70279830288632,34.8729792147806,45.86056632369689,866,False
500000.0,2,50.0,2.0,1.5,847718.0097180998,69.54360194361998,53.31412103746398,50.53830710517322,347,False
500000.0,2,50.0,2.5,1.5,843802.5918349336,68.76051836698673,47.462686567164184,50.24478411907782,335,False
500000.0,5,20.0,1.0,1.0,833766.7633409747,66.75335266819494,67.5934803451582,43.04,1043,False
500000.0,2,50.0,1.5,1.5,818993.6379040887,63.79872758081775,60.15831134564644,50.1973274837401,379,False
500000.0,3,33.3,2.5,1.5,797993.1992870155,59.5986398574031,46.31147540983606,43.121430020436826,488,False
500000.0,2,50.0,3.0,1.5,787430.4387668078,57.486087753361545,42.679127725856695,50.102695193653524,321,False
500000.0,3,33.3,2.0,1.5,785684.2337688743,57.13684675377486,52.39923224568138,43.40938185274436,521,False
500000.0,3,33.3,1.5,1.5,773599.3140619296,54.71986281238592,60.278745644599304,42.71569213697609,574,False
500000.0,5,20.0,1.5,1.5,759835.4361921126,51.967087238422515,60.26058631921825,43.446669707011246,921,False
500000.0,3,33.3,3.0,1.5,743955.675236885,48.791135047377,40.42553191489361,43.479581156470815,470,False
500000.0,5,20.0,2.0,1.5,741458.9478609847,48.291789572196954,50.88547815820543,49.03246888868397,847,False
500000.0,2,50.0,1.0,1.5,739360.2665802723,47.87205331605446,68.76513317191282,50.0,413,False
500000.0,5,20.0,2.5,1.5,719648.7926554423,43.929758531088446,44.23558897243108,46.06061016393991,798,False
500000.0,5,20.0,1.0,1.5,713087.3946353892,42.61747892707783,70.02012072434609,43.28700877093111,994,False
500000.0,3,33.3,1.0,1.5,708389.0603241062,41.67781206482124,68.97106109324758,42.64643885331717,622,False
500000.0,5,20.0,3.0,1.5,692284.9078871943,38.45698157743887,38.663171690694625,45.78239821369665,763,False
200000.0,2,50.0,2.5,0.5,578539.5439828252,189.26977199141263,37.149532710280376,50.0,428,False
200000.0,2,50.0,2.0,0.5,552115.3138014211,176.05765690071053,42.79176201372998,50.0,437,False
200000.0,2,50.0,3.0,0.5,551388.0569211306,175.6940284605653,31.59144893111639,50.0,421,False
200000.0,3,33.3,2.5,0.5,547209.7787768623,173.60488938843116,38.20754716981132,48.14814814814814,636,False
200000.0,3,33.3,2.0,0.5,533917.9110485169,166.9589555242584,44.5468509984639,48.148148148148145,651,False
200000.0,3,33.3,3.0,0.5,524750.522002989,162.3752610014945,32.26837060702875,48.14814814814815,626,False
200000.0,2,50.0,1.5,0.5,519146.6213167255,159.57331065836274,51.87637969094923,50.0,453,False
200000.0,3,33.3,1.5,0.5,499507.84227890155,149.7539211394508,53.96113602391629,48.148148148148145,669,False
200000.0,5,20.0,2.5,0.5,494784.86273368425,147.39243136684212,37.45136186770428,45.549523097247175,1028,False
200000.0,5,20.0,2.0,0.5,492050.47063263715,146.0252353163186,44.59203036053131,43.04000000000001,1054,False
200000.0,5,20.0,1.5,0.5,482424.06915166765,141.21203457583383,55.02304147465438,43.04000000000001,1085,False
200000.0,5,20.0,3.0,0.5,482193.86327634315,141.09693163817155,31.854043392504934,45.55819691785785,1014,False
200000.0,2,50.0,1.0,0.5,454137.49226840463,127.06874613420234,63.99132321041214,50.0,461,False
200000.0,3,33.3,1.0,0.5,434939.3074906239,117.46965374531193,65.59297218155197,48.148148148148145,683,False
200000.0,5,20.0,1.0,0.5,417538.83675639785,108.7694183781989,66.00181323662738,43.04,1103,False
200000.0,2,50.0,2.5,1.0,401774.2732389772,100.8871366194886,40.88541666666667,50.511724395220334,384,False
200000.0,2,50.0,2.0,1.0,399564.4833834078,99.78224169170392,46.81933842239186,50.139639882426366,393,False
200000.0,3,33.3,2.5,1.0,382256.1269985815,91.12806349929076,40.9660107334526,49.03098390878816,559,False
200000.0,2,50.0,1.5,1.0,382099.048293376,91.04952414668799,54.39429928741093,50.0,421,False
200000.0,3,33.3,1.5,1.0,374590.2057291796,87.29510286458981,56.443719412724306,48.148148148148145,613,False
200000.0,3,33.3,2.0,1.0,371290.8832717936,85.6454416358968,47.04861111111111,48.88508438568386,576,False
200000.0,2,50.0,3.0,1.0,364178.84121281956,82.08942060640977,35.215053763440864,50.143326827852285,372,False
200000.0,5,20.0,1.5,1.0,363632.3113978063,81.81615569890315,56.99999999999999,43.03999999999999,1000,False
200000.0,5,20.0,2.0,1.0,361745.928287404,80.87296414370199,47.6545842217484,43.51123157827471,938,False
200000.0,5,20.0,2.5,1.0,357934.88651300553,78.96744325650278,40.67039106145251,46.1637506188282,895,False
200000.0,3,33.3,3.0,1.0,357740.1252100736,78.8700626050368,35.17495395948435,48.73887872265464,543,False
200000.0,2,50.0,1.0,1.0,347722.4934951009,73.86124674755044,65.21739130434783,50.0,437,False
200000.0,3,33.3,1.0,1.0,343025.4418908933,71.51272094544663,67.28971962616822,48.148148148148145,642,False
200000.0,5,20.0,3.0,1.0,339405.5966057713,69.70279830288564,34.8729792147806,45.86056632369689,866,False
200000.0,2,50.0,2.0,1.5,339087.20388724003,69.54360194362002,53.31412103746398,50.53830710517323,347,False
200000.0,2,50.0,2.5,1.5,337521.03673397365,68.76051836698682,47.462686567164184,50.24478411907779,335,False
200000.0,5,20.0,1.0,1.0,333506.70533638954,66.75335266819478,67.5934803451582,43.040000000000006,1043,False
200000.0,2,50.0,1.5,1.5,327597.45516163483,63.79872758081741,60.15831134564644,50.19732748374008,379,False
200000.0,3,33.3,2.5,1.5,319197.27971480583,59.59863985740292,46.31147540983606,43.121430020436804,488,False
200000.0,2,50.0,3.0,1.5,314972.17550672323,57.486087753361616,42.679127725856695,50.102695193653545,321,False
200000.0,3,33.3,2.0,1.5,314273.6935075495,57.136846753774776,52.39923224568138,43.409381852744374,521,False
200000.0,3,33.3,1.5,1.5,309439.7256247713,54.71986281238566,60.278745644599304,42.715692136976074,574,False
200000.0,5,20.0,1.5,1.5,303934.1744768451,51.967087238422536,60.26058631921825,43.44666970701122,921,False
200000.0,3,33.3,3.0,1.5,297582.2700947536,48.7911350473768,40.42553191489361,43.47958115647083,470,False
200000.0,5,20.0,2.0,1.5,296583.5791443941,48.29178957219704,50.88547815820543,49.03246888868395,847,False
200000.0,2,50.0,1.0,1.5,295744.10663210874,47.87205331605438,68.76513317191282,49.99999999999999,413,False
100000.0,2,50.0,2.5,0.5,289269.7719914126,189.26977199141263,37.149532710280376,50.0,428,False
200000.0,5,20.0,2.5,1.5,287859.51706217777,43.92975853108889,44.23558897243108,46.060610163939934,798,False
200000.0,5,20.0,1.0,1.5,285234.95785415615,42.61747892707808,70.02012072434609,43.287008770931116,994,False
200000.0,3,33.3,1.0,1.5,283355.62412964297,41.67781206482148,68.97106109324758,42.64643885331718,622,False
200000.0,5,20.0,3.0,1.5,276913.9631548778,38.45698157743891,38.663171690694625,45.78239821369664,763,False
100000.0,2,50.0,2.0,0.5,276057.65690071054,176.05765690071053,42.79176201372998,50.0,437,False
100000.0,2,50.0,3.0,0.5,275694.0284605653,175.6940284605653,31.59144893111639,50.0,421,False
100000.0,3,33.3,2.5,0.5,273604.88938843115,173.60488938843116,38.20754716981132,48.14814814814814,636,False
100000.0,3,33.3,2.0,0.5,266958.95552425843,166.9589555242584,44.5468509984639,48.148148148148145,651,False
100000.0,3,33.3,3.0,0.5,262375.2610014945,162.3752610014945,32.26837060702875,48.14814814814815,626,False
100000.0,2,50.0,1.5,0.5,259573.31065836275,159.57331065836274,51.87637969094923,50.0,453,False
100000.0,3,33.3,1.5,0.5,249753.92113945077,149.7539211394508,53.96113602391629,48.148148148148145,669,False
100000.0,5,20.0,2.5,0.5,247392.43136684212,147.39243136684212,37.45136186770428,45.549523097247175,1028,False
100000.0,5,20.0,2.0,0.5,246025.23531631858,146.0252353163186,44.59203036053131,43.04000000000001,1054,False
100000.0,5,20.0,1.5,0.5,241212.03457583382,141.21203457583383,55.02304147465438,43.04000000000001,1085,False
100000.0,5,20.0,3.0,0.5,241096.93163817158,141.09693163817155,31.854043392504934,45.55819691785785,1014,False
100000.0,2,50.0,1.0,0.5,227068.74613420232,127.06874613420234,63.99132321041214,50.0,461,False
100000.0,3,33.3,1.0,0.5,217469.65374531195,117.46965374531193,65.59297218155197,48.148148148148145,683,False
100000.0,5,20.0,1.0,0.5,208769.41837819893,108.7694183781989,66.00181323662738,43.04,1103,False
100000.0,2,50.0,2.5,1.0,200887.1366194886,100.8871366194886,40.88541666666667,50.511724395220334,384,False
100000.0,2,50.0,2.0,1.0,199782.2416917039,99.78224169170392,46.81933842239186,50.139639882426366,393,False
100000.0,3,33.3,2.5,1.0,191128.06349929076,91.12806349929076,40.9660107334526,49.03098390878816,559,False
100000.0,2,50.0,1.5,1.0,191049.524146688,91.04952414668799,54.39429928741093,50.0,421,False
100000.0,3,33.3,1.5,1.0,187295.1028645898,87.29510286458981,56.443719412724306,48.148148148148145,613,False
100000.0,3,33.3,2.0,1.0,185645.4416358968,85.6454416358968,47.04861111111111,48.88508438568386,576,False
100000.0,2,50.0,3.0,1.0,182089.42060640978,82.08942060640977,35.215053763440864,50.143326827852285,372,False
100000.0,5,20.0,1.5,1.0,181816.15569890314,81.81615569890315,56.99999999999999,43.03999999999999,1000,False
100000.0,5,20.0,2.0,1.0,180872.964143702,80.87296414370199,47.6545842217484,43.51123157827471,938,False
100000.0,5,20.0,2.5,1.0,178967.44325650277,78.96744325650278,40.67039106145251,46.1637506188282,895,False
100000.0,3,33.3,3.0,1.0,178870.0626050368,78.8700626050368,35.17495395948435,48.73887872265464,543,False
100000.0,2,50.0,1.0,1.0,173861.24674755044,73.86124674755044,65.21739130434783,50.0,437,False
100000.0,3,33.3,1.0,1.0,171512.72094544664,71.51272094544663,67.28971962616822,48.148148148148145,642,False
100000.0,5,20.0,3.0,1.0,169702.79830288564,69.70279830288564,34.8729792147806,45.86056632369689,866,False
100000.0,2,50.0,2.0,1.5,169543.60194362001,69.54360194362002,53.31412103746398,50.53830710517323,347,False
100000.0,2,50.0,2.5,1.5,168760.51836698683,68.76051836698682,47.462686567164184,50.24478411907779,335,False
100000.0,5,20.0,1.0,1.0,166753.35266819477,66.75335266819478,67.5934803451582,43.040000000000006,1043,False
100000.0,2,50.0,1.5,1.5,163798.72758081742,63.79872758081741,60.15831134564644,50.19732748374008,379,False
100000.0,3,33.3,2.5,1.5,159598.63985740292,59.59863985740292,46.31147540983606,43.121430020436804,488,False
100000.0,2,50.0,3.0,1.5,157486.08775336161,57.486087753361616,42.679127725856695,50.102695193653545,321,False
100000.0,3,33.3,2.0,1.5,157136.84675377476,57.136846753774776,52.39923224568138,43.409381852744374,521,False
100000.0,3,33.3,1.5,1.5,154719.86281238566,54.71986281238566,60.278745644599304,42.715692136976074,574,False
100000.0,5,20.0,1.5,1.5,151967.08723842254,51.967087238422536,60.26058631921825,43.44666970701122,921,False
100000.0,3,33.3,3.0,1.5,148791.1350473768,48.7911350473768,40.42553191489361,43.47958115647083,470,False
100000.0,5,20.0,2.0,1.5,148291.78957219704,48.29178957219704,50.88547815820543,49.03246888868395,847,False
100000.0,2,50.0,1.0,1.5,147872.05331605437,47.87205331605438,68.76513317191282,49.99999999999999,413,False
