Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,Move_%,HV20,VolPotential,VectorScore,Debit/unit,Debit_%S,Units,PnL_Total,Return_%,Win,CumPnL
ABREL.NS,2021-12-27,2022-01-25,907.9,910,980,936.81,843.44,-7.1,0.5603,1.153,4,26.81,2.953,74,-1983.7,-100.0,False,185604.40000000002
ABCAPITAL.NS,2021-12-27,2022-01-25,119.1,120,130,123.35,117.7,-1.18,0.3995,1.145,3,3.35,2.811,597,-1998.53,-100.0,False,183605.87000000002
RELIANCE.NS,2021-12-27,2022-01-25,1073.53,1075,1160,1102.27,1074.89,0.13,0.2744,0.853,4,27.27,2.54,73,-1990.38,-100.0,False,181615.49000000002
AJMERA.NS,2021-12-27,2022-01-25,54.54,55,60,56.7,80.22,47.09,0.4768,0.897,5,1.7,3.118,1176,3880.29,194.04,True,185495.78000000003
ANANTRAJ.NS,2021-12-27,2022-01-25,74.2,75,80,76.88,79.26,6.82,0.5773,1.194,3,1.88,2.535,1063,2531.5,126.6,True,188027.28000000003
APOLLO.NS,2021-12-28,2022-01-27,14.09,15,20,15.67,14.16,0.5,0.6502,1.566,3,0.67,4.785,2965,-1999.42,-100.0,False,186027.86000000002
INFY.NS,2021-12-28,2022-01-27,1658.97,1660,1760,1693.35,1474.97,-11.09,0.2101,0.952,3,33.35,2.01,59,-1967.65,-100.0,False,184060.21000000002
RELIANCE.NS,2021-12-28,2022-01-27,1086.28,1085,1170,1113.31,1058.97,-2.51,0.2734,0.849,4,28.31,2.606,70,-1981.37,-100.0,False,182078.84000000003
AJMERA.NS,2021-12-28,2022-01-27,55.47,55,60,56.93,77.01,38.84,0.4721,0.934,4,1.93,3.472,1038,3190.77,159.6,True,185269.61000000004
ABCAPITAL.NS,2021-12-28,2022-01-27,119.75,120,130,123.49,116.95,-2.34,0.387,1.103,3,3.49,2.913,573,-1998.89,-100.0,False,183270.72000000003
BAJFINANCE.NS,2021-12-28,2022-01-27,673.5,675,725,692.69,666.71,-1.01,0.3521,1.006,3,17.69,2.627,113,-1998.94,-100.0,False,181271.78000000003
TITAN.NS,2021-12-28,2022-01-27,2341.34,2340,2505,2395.2,2272.67,-2.93,0.2468,0.817,3,55.2,2.358,36,-1987.24,-100.0,False,179284.54000000004
ANANTRAJ.NS,2021-12-28,2022-01-27,75.2,75,80,77.03,82.93,10.29,0.575,1.218,3,2.03,2.704,983,2916.45,145.93,True,182200.99000000002
TITAN.NS,2021-12-29,2022-01-28,2363.28,2365,2530,2419.48,2278.13,-3.6,0.2476,0.827,3,54.48,2.305,36,-1961.24,-100.0,False,180239.75
