Ticker,Entry Date,Exit Date,S_entry,K1_Long,K2_Short,HV,IV_Rank,Debit/unit,Units,Total Debit,S_expiry,Breakeven,PnL/unit,PnL Total,Return %,Win,Score,Sig1_CheapVol,Sig2_Trend,Sig3_RSI,Sig4_Volume,Sig5_ATR,Capital_After
AADHARHFC.NS,2025-07-04,2025-08-04,460.25,460,485,0.1898,0.008,8.62,92,793.29,500.1,468.62,16.38,1506.71,189.93,True,3,1,1,0,0,1,41545.83
AADHARHFC.NS,2025-07-07,2025-08-05,455.05,455,480,0.1931,0.024,8.56,97,830.31,499.45,463.56,16.44,1594.69,192.06,True,3,1,1,0,1,0,43140.53
AADHARHFC.NS,2025-07-10,2025-08-08,453.1,455,475,0.1879,0.008,6.88,125,859.53,503.8,461.88,13.12,1640.47,190.86,True,3,1,1,0,1,0,44781.0
AADHARHFC.NS,2025-07-11,2025-08-11,451.7,450,475,0.1842,0.008,8.99,99,889.59,506.75,458.99,16.01,1585.41,178.22,True,3,1,1,0,1,0,46366.41
AADHARHFC.NS,2025-07-15,2025-08-13,477.9,480,500,0.2292,0.096,7.41,125,925.77,496.7,487.41,9.29,1161.74,125.49,True,3,1,1,0,1,0,47528.15
AADHARHFC.NS,2025-07-16,2025-08-14,504.65,505,530,0.2839,0.191,9.7,97,941.29,501.1,514.7,-9.7,-941.29,-100.0,False,4,1,1,0,1,1,46586.86
AADHARHFC.NS,2025-07-17,2025-08-18,502.75,505,530,0.2809,0.191,9.25,100,924.73,505.05,514.25,-9.2,-919.73,-99.46,False,3,1,1,0,0,1,45667.13
AADHARHFC.NS,2025-07-18,2025-08-19,504.7,505,530,0.2807,0.191,9.69,94,911.28,502.45,514.69,-9.69,-911.28,-100.0,False,3,1,1,0,0,1,44755.85
AADHARHFC.NS,2025-07-21,2025-08-20,516.35,515,540,0.2857,0.207,10.15,88,893.24,515.5,525.15,-9.65,-849.24,-95.07,False,4,1,1,0,1,1,43906.61
AADHARHFC.NS,2025-07-22,2025-08-21,519.6,520,545,0.2669,0.191,9.66,90,869.41,517.45,529.66,-9.66,-869.41,-100.0,False,4,1,1,0,1,1,43037.21
AADHARHFC.NS,2025-07-23,2025-08-22,516.75,515,545,0.27,0.195,11.53,74,853.35,521.85,526.53,-4.68,-346.45,-40.6,False,3,1,1,0,0,1,42690.76
AADHARHFC.NS,2025-07-24,2025-08-25,511.7,510,535,0.2772,0.199,10.17,83,843.73,517.25,520.17,-2.92,-241.98,-28.68,False,3,1,1,0,0,1,42448.77
AADHARHFC.NS,2025-07-25,2025-08-26,496.4,495,520,0.307,0.275,10.17,83,843.91,503.45,505.17,-1.72,-142.56,-16.89,False,3,1,1,0,0,1,42306.22
AADHARHFC.NS,2025-07-28,2025-08-28,516.55,515,540,0.3248,0.331,10.35,81,838.67,497.0,525.35,-10.35,-838.67,-100.0,False,3,0,1,0,1,1,41467.55
AADHARHFC.NS,2025-08-14,2025-09-16,501.1,500,525,0.2464,0.167,9.77,84,821.03,537.8,509.77,15.23,1278.97,155.78,True,3,1,1,1,0,0,42746.52
AADHARHFC.NS,2025-08-20,2025-09-19,515.5,515,540,0.2509,0.203,9.74,87,847.03,539.15,524.74,14.41,1254.02,148.05,True,3,1,1,1,0,0,44000.55
AADHARHFC.NS,2025-09-03,2025-10-03,515.4,515,540,0.2057,0.084,9.29,94,873.47,509.95,524.29,-9.29,-873.47,-100.0,False,3,1,1,0,1,0,43127.08
AADHARHFC.NS,2025-09-15,2025-10-15,518.8,520,545,0.2317,0.159,9.15,94,860.51,510.6,529.15,-9.15,-860.51,-100.0,False,3,1,1,1,0,0,42266.57
AADHARHFC.NS,2025-09-16,2025-10-16,537.8,540,565,0.2612,0.279,9.31,90,837.89,508.1,549.31,-9.31,-837.89,-100.0,False,3,1,1,0,1,0,41428.68
AADHARHFC.NS,2025-09-24,2025-10-27,539.85,540,565,0.2382,0.195,9.61,86,826.44,511.2,549.61,-9.61,-826.44,-100.0,False,3,1,1,0,1,0,40602.24
AADHARHFC.NS,2025-10-20,2025-11-20,513.75,515,540,0.2014,0.088,8.74,92,803.99,485.75,523.74,-8.74,-803.99,-100.0,False,4,1,1,1,1,0,39798.25
AADHARHFC.NS,2025-10-24,2025-11-25,522.6,525,550,0.2101,0.124,8.6,92,791.01,487.05,533.6,-8.6,-791.01,-100.0,False,4,1,1,0,1,1,39007.24
AADHARHFC.NS,2025-10-27,2025-11-26,511.2,510,535,0.2068,0.112,9.51,81,770.65,486.85,519.51,-9.51,-770.65,-100.0,False,3,1,1,0,0,1,38236.59
AADHARHFC.NS,2025-11-10,2025-12-09,498.45,500,525,0.1887,0.064,8.33,91,758.36,487.95,508.33,-8.33,-758.36,-100.0,False,3,1,0,1,1,0,37478.23
AADHARHFC.NS,2025-12-22,2026-01-21,488.55,490,515,0.1616,0.08,7.76,96,745.19,470.8,497.76,-7.76,-745.19,-100.0,False,3,1,0,0,1,1,36733.04
AADHARHFC.NS,2025-12-31,2026-01-30,485.05,485,510,0.1863,0.175,8.71,84,731.36,491.3,493.71,-2.41,-202.16,-27.64,False,3,1,0,1,0,1,36530.88
AADHARHFC.NS,2026-01-02,2026-02-03,500.55,500,525,0.2326,0.378,9.51,76,722.9,477.25,509.51,-9.51,-722.9,-100.0,False,3,0,1,0,1,1,35807.98
AADHARHFC.NS,2026-01-30,2026-03-02,491.3,490,515,0.2415,0.446,9.73,73,710.56,452.6,499.73,-9.73,-710.56,-100.0,False,3,0,1,1,1,0,35097.42
AADHARHFC.NS,2026-03-09,2026-04-10,481.7,480,505,0.3477,0.845,10.31,68,701.36,478.6,490.31,-10.31,-701.36,-100.0,False,4,0,1,1,1,1,34396.06
AADHARHFC.NS,2026-03-16,2026-04-20,478.75,480,505,0.3979,0.884,9.93,69,684.98,480.55,489.93,-9.38,-647.04,-94.46,False,3,0,1,1,0,1,33749.02
AAKASH.NS,2023-11-07,2023-12-08,7.3,5,10,0.6668,,2.3,293,673.92,12.75,7.3,2.7,791.08,117.39,True,3,0,1,0,1,1,34540.1
AAKASH.NS,2023-12-04,2024-01-03,7.4,5,10,0.4749,,2.42,285,689.96,11.6,7.42,2.58,735.04,106.54,True,3,0,1,1,1,0,35275.15
AAKASH.NS,2024-02-09,2024-03-12,12.1,10,15,0.4478,,2.15,327,704.67,9.8,12.15,-2.15,-704.67,-100.0,False,3,0,1,0,1,1,34570.47
AAKASH.NS,2024-04-04,2024-05-08,12.2,10,15,0.702,,2.21,313,690.75,10.75,12.21,-1.46,-456.0,-66.02,False,3,0,1,0,1,1,34114.47
AAKASH.NS,2024-10-09,2024-11-07,12.02,10,15,0.3927,0.287,2.08,327,680.48,11.56,12.08,-0.52,-170.36,-25.04,False,3,1,0,0,1,1,33944.11
AAKASH.NS,2024-10-10,2024-11-08,12.27,10,15,0.3963,0.295,2.31,293,677.56,11.35,12.31,-0.96,-282.01,-41.62,False,4,1,0,1,1,1,33662.11
AAKASH.NS,2025-06-20,2025-07-21,12.22,10,15,0.8905,1.0,2.18,308,671.64,10.04,12.18,-2.14,-659.32,-98.17,False,3,0,1,0,1,1,33002.79
AAREYDRUGS.NS,2023-11-07,2023-12-08,46.1,45,50,0.3336,,1.93,342,659.25,42.0,46.93,-1.93,-659.25,-100.0,False,3,0,1,1,1,0,32343.54
AAREYDRUGS.NS,2023-12-21,2024-01-23,46.2,45,50,0.3762,,2.0,323,646.1,52.15,47.0,3.0,968.9,149.96,True,3,0,1,1,0,1,33312.44
AAREYDRUGS.NS,2023-12-29,2024-01-31,50.55,50,55,0.4149,,1.86,358,666.04,53.0,51.86,1.14,407.96,61.25,True,3,0,1,0,1,1,33720.4
AAREYDRUGS.NS,2024-01-01,2024-02-01,60.65,60,65,0.7477,,2.05,328,673.66,52.25,62.05,-2.05,-673.66,-100.0,False,3,0,1,0,1,1,33046.74
AAREYDRUGS.NS,2024-01-02,2024-02-02,57.15,55,60,0.7902,,2.26,292,659.89,51.9,57.26,-2.26,-659.89,-100.0,False,3,0,1,0,1,1,32386.85
AAREYDRUGS.NS,2024-01-03,2024-02-05,66.45,65,70,0.9217,,2.15,301,647.56,51.1,67.15,-2.15,-647.56,-100.0,False,3,0,1,0,1,1,31739.29
