Date,Ticker,Type,Entry,Exit,PnL_%,PnL_USD,Capital
2018-01-16,ICICIBANK.NS,Equity 1x2 Spread,305.16302490234375,327.30346821627637,1.62,153.57,118539.52
2018-01-18,^NSEI,Equity 1x2 Spread,10443.2001953125,10817.0,3.46,326.82,118866.34
2018-01-23,RELIANCE.NS,Equity 1x2 Spread,408.2816467285156,435.718704286832,2.16,204.17,119070.51
2018-01-23,ICICIBANK.NS,Equity 1x2 Spread,320.9158935546875,350.06823277535955,-0.2,-19.36,119051.16
2018-01-31,^NSEBANK,Equity 1x2 Spread,25974.59765625,27455.43075342421,3.18,301.46,119352.62
2018-02-02,^NSEI,Equity 1x2 Spread,10817.0,10760.599609375,-0.12,-11.41,119341.21
2018-03-14,RELIANCE.NS,Equity 1x2 Spread,417.9330139160156,408.5014953613281,-0.12,-11.46,119329.75
2018-03-15,TCS.NS,Equity 1x2 Spread,1222.880859375,1156.2578125,-0.12,-11.46,119318.3
2018-04-20,TCS.NS,Equity 1x2 Spread,1264.864990234375,1378.9316093312516,-0.14,-13.18,119305.11
2018-04-27,RELIANCE.NS,Equity 1x2 Spread,415.18487548828125,444.53471994533214,1.81,172.86,119477.97
2018-05-07,BTC-USD,Crypto 1.5x,9858.150390625,9365.24287109375,-7.86,-751.28,118726.7
2018-05-11,BTC-USD,Crypto 1.5x,9373.009765625,8904.35927734375,-7.86,-746.55,117980.14
2018-05-14,^NSEI,Equity 1x2 Spread,10692.2998046875,10806.599609375,0.95,90.71,118070.85
2018-05-15,^NSEBANK,Equity 1x2 Spread,25531.302734375,26971.736381979175,3.24,309.51,118380.36
2018-05-25,TCS.NS,Equity 1x2 Spread,1383.4442138671875,1480.6489054392412,1.85,175.1,118555.46
2018-05-29,^NSEI,Equity 1x2 Spread,10806.599609375,10633.2998046875,-0.12,-11.33,118544.12
2018-05-30,^NSEBANK,Equity 1x2 Spread,26473.69140625,26327.494140625,-0.12,-11.36,118532.76
2018-05-30,RELIANCE.NS,Equity 1x2 Spread,430.4423828125,402.807373046875,-0.12,-11.36,118521.39
2018-06-15,RELIANCE.NS,Equity 1x2 Spread,419.6477966308594,450.0309960817598,1.64,155.48,118676.88
2018-06-18,TCS.NS,Equity 1x2 Spread,1419.596435546875,1517.7923654758781,1.96,186.11,118862.99
2018-07-03,^NSEI,Equity 1x2 Spread,10799.849609375,10699.900390625,-0.12,-11.41,118851.58
2018-07-03,^NSEBANK,Equity 1x2 Spread,26408.994140625,26203.794921875,-0.12,-11.41,118840.17
2018-07-03,TCS.NS,Equity 1x2 Spread,1486.143798828125,1522.7489013671875,2.34,222.81,119062.97
2018-07-11,TCS.NS,Equity 1x2 Spread,1522.7489013671875,1623.4636248168158,2.27,215.84,119278.81
2018-07-19,^NSEBANK,Equity 1x2 Spread,26433.642578125,26789.33984375,1.23,116.74,119395.55
2018-07-31,^NSEI,Equity 1x2 Spread,10936.849609375,11356.5,3.72,354.69,119750.24
2018-08-03,^NSEBANK,Equity 1x2 Spread,26789.33984375,27695.177734375,3.26,311.51,120061.75
2018-08-09,TCS.NS,Equity 1x2 Spread,1613.3006591796875,1607.4793701171875,-0.12,-11.46,120050.29
2018-08-16,^NSEI,Equity 1x2 Spread,11356.5,11385.0498046875,0.13,12.59,120062.88
2018-08-20,RELIANCE.NS,Equity 1x2 Spread,520.9619750976562,547.4537798214348,3.79,364.49,120427.37
