Ticker,Entry_Date,Exit_Date,S_entry,K1_Long,K2_Short,Breakeven,S_expiry,HV,RSI,Debit/unit,Debit_pct,Units,PnL/unit,PnL_Total,Return_%,Win,M1_Breakout,M2_Regime,F1_RSI,F2_Volume,F3_Trend,FlexScore,Capital
ASKAUTOLTD.NS,2024-12-16,2025-01-30,494.62,495,510,501.7,447.85,0.3069,73.8,6.7,1.354,58381366756978290825669783120509251729098316448284226789230507355892296450048,-6.7,-3.909914935330037e+77,-100.0,False,1,1,1,0,1,2,1.9158583183117184e+79
ANIKINDS.NS,2024-12-16,2025-01-30,117.81,120,125,121.67,92.15,0.2276,80.4,1.67,1.416,10274257048526414656525521868504335259163138120795073297502799587245807370240,-1.67,-1.7136903118707738e+76,-100.0,False,1,1,0,1,1,2,8.397082528166791e+77
ADFFOODS.NS,2024-12-16,2025-01-30,343.38,345,355,349.36,263.55,0.3501,66.2,4.36,1.271,427001167805453908321411703690949697395535385729764257853510192917477588992,-4.36,-1.8636988125822777e+75,-100.0,False,1,1,1,0,1,2,9.13212418165316e+76
ARVIND.NS,2024-12-16,2025-01-30,428.82,430,440,434.51,331.11,0.3732,78.6,4.51,1.052,25170773190179143666735544953487318290641166918418788473327882798405458591744,-4.51,-1.1360063715847652e+77,-100.0,False,1,1,1,0,1,2,5.56643122076535e+78
AGARIND.NS,2024-12-16,2025-01-30,1351.38,1350,1390,1368.07,1111.98,0.4244,93.8,18.07,1.337,50364361917371191512463562451972333717682583278573914961827496517280202752,-18.07,-9.100096910383945e+74,-100.0,False,1,1,0,1,1,2,4.459047486088132e+76
AMJLAND.NS,2024-12-16,2025-01-30,72.39,70,75,72.25,54.9,0.8138,68.1,2.25,3.101,516196335175773232591603865485624225655806896055381896047516647245121323008,-2.25,-1.1589207603930913e+75,-100.0,False,1,1,1,1,1,3,5.678711725926148e+76
ASALCBR.NS,2024-12-16,2025-01-30,1126.73,1125,1160,1140.85,1291.29,0.3655,78.8,15.85,1.406,8755757885534345878018459636921023580128269219607919023237387791743414435840,19.15,1.6769706179476886e+77,120.86,True,1,1,1,0,1,2,7.10542027174143e+78
ANANTRAJ.NS,2024-12-16,2025-01-30,786.25,785,810,796.31,560.73,0.318,89.4,11.31,1.438,1425233799173087621057541424198662970160857239567562742321055995356107505664,-11.31,-1.6117842276968946e+76,-100.0,False,1,1,0,1,1,2,7.897742715714784e+77
AFFLE.NS,2024-12-16,2025-01-30,1852.45,1850,1910,1877.02,1499.85,0.342,82.6,27.02,1.459,44856994092498187941510160964415184984235333414573804524130458233131237376,-27.02,-1.2121617316501641e+75,-100.0,False,1,1,0,1,1,2,5.939592485085804e+76
ARVIND.NS,2024-12-17,2025-01-31,443.61,445,455,449.52,334.23,0.3534,80.9,4.52,1.018,24651041437504631100012676249571909561146249261614099405664994041892637245440,-4.52,-1.11328624415307e+77,-100.0,False,1,1,0,1,1,2,5.455102596350043e+78
ASKAUTOLTD.NS,2024-12-17,2025-01-31,501.5,500,515,506.92,449.2,0.2669,76.0,6.92,1.38,55361898441123611637515591874718926490010371155136223112237314677820060860416,-6.92,-3.8317166366234367e+77,-100.0,False,1,1,1,0,1,2,1.877541151945484e+79
ADFFOODS.NS,2024-12-17,2025-01-31,345.82,345,355,349.59,269.07,0.3406,65.9,4.59,1.328,397641841904684275681923600048045587600143144475216713599281409753226412032,-4.59,-1.826424836330632e+75,-100.0,False,1,1,1,0,1,2,8.949481698020097e+76
ANANTRAJ.NS,2024-12-17,2025-01-31,805.13,805,830,816.2,597.58,0.2795,90.0,11.2,1.391,1410642959781096326150534600422264461999638917747688376331085889221318148096,-11.2,-1.579548543142957e+76,-100.0,False,1,1,0,1,1,2,7.739787861400488e+77
360ONE.NS,2024-12-17,2025-01-31,1230.78,1230,1270,1247.91,990.78,0.3192,71.6,17.91,1.455,28457885910238030335313704449144485474930885548735948074866755393179090944,-17.91,-5.097758484682667e+74,-100.0,False,1,1,1,0,1,2,2.4979016574945067e+76
