Ticker,Entry_Date,Exit_Date,Year,S_Entry,S_Exit,Move_%,Return_%,Win
TITAN.NS,2021-11-12,2021-12-14,2021,2498.41,2316.75,-7.27,-5.0,False
INFY.NS,2021-11-12,2021-12-14,2021,1564.25,1539.6,-1.58,-5.0,False
BHARTIARTL.NS,2021-11-16,2021-12-16,2021,713.77,665.97,-6.7,-5.0,False
INFY.NS,2021-12-31,2022-02-01,2021,1658.75,1557.09,-6.13,-5.0,False
TITAN.NS,2022-01-04,2022-02-03,2022,2541.2,2434.9,-4.18,-5.0,False
ABREL.NS,2022-01-07,2022-02-08,2022,932.67,824.78,-11.57,-5.0,False
ABB.NS,2022-01-10,2022-02-09,2022,2230.41,2191.4,-1.75,-5.0,False
ANANTRAJ.NS,2022-01-12,2022-02-11,2022,78.47,71.03,-9.48,-5.0,False
NIFTY50,2022-01-12,2022-02-11,2022,18212.35,17374.75,-4.6,-5.0,False
BHARTIARTL.NS,2022-03-29,2022-04-29,2022,737.86,722.27,-2.11,-5.0,False
INFY.NS,2022-03-31,2022-05-04,2022,1675.53,1349.27,-19.47,-5.0,False
ABB.NS,2022-07-06,2022-08-04,2022,2467.43,2615.8,6.01,245.18,True
TITAN.NS,2022-09-15,2022-10-17,2022,2622.41,2591.66,-1.17,-5.0,False
BHARTIARTL.NS,2022-09-21,2022-10-21,2022,765.93,782.86,2.21,110.55,True
TITAN.NS,2022-10-24,2022-11-24,2022,2649.81,2577.05,-2.75,-5.0,False
BHARTIARTL.NS,2022-10-24,2022-11-24,2022,787.42,832.83,5.77,246.35,True
NIFTY50,2022-10-31,2022-11-30,2022,18012.2,18758.35,4.14,207.12,True
ANANTRAJ.NS,2022-11-01,2022-12-01,2022,113.21,102.37,-9.57,-5.0,False
ICICIBANK.NS,2022-11-10,2022-12-09,2022,888.7,907.43,2.11,105.41,True
NIFTY50,2022-12-01,2022-12-30,2022,18812.5,18105.3,-3.76,-5.0,False
BHARTIARTL.NS,2022-12-02,2023-01-02,2022,833.12,798.62,-4.14,-5.0,False
ANANTRAJ.NS,2023-01-17,2023-02-16,2023,118.93,109.08,-8.28,-5.0,False
ABB.NS,2023-04-06,2023-05-10,2023,3330.2,3746.37,12.5,214.3,True
BTC-USD,2023-04-06,2023-04-27,2023,28044.14,29473.79,5.1,249.53,True
