StartCap,Mode,Slots,Alloc%,TP%,SL%,1YrFinalCap,Return%,WinRate%,MaxDD%,Trades,Hit10Crore
200000.0,Equities Stock Hopping,1,100.0,4.0,1.0,446315.89711532835,123.15794855766416,30.23255813953488,100.0,172,False
200000.0,Equities Stock Hopping,1,100.0,3.0,1.0,437440.4751449664,118.72023757248317,35.82887700534759,100.0,187,False
200000.0,Equities Stock Hopping,1,100.0,5.0,1.0,398572.58442709426,99.28629221354713,25.153374233128833,100.0,163,False
200000.0,Equities Stock Hopping,2,50.0,3.0,1.0,366976.29735706386,83.48814867853194,35.50135501355013,50.39323181667519,369,False
200000.0,Equities Stock Hopping,1,100.0,4.0,1.5,364605.57425834984,82.30278712917492,35.76158940397351,100.0,151,False
200000.0,Equities Stock Hopping,2,50.0,4.0,1.0,363647.7967441339,81.82389837206696,27.988338192419825,49.99999999999999,343,False
200000.0,Equities Stock Hopping,2,50.0,5.0,1.0,357824.2160889257,78.91210804446287,24.050632911392405,50.0,316,False
200000.0,Equities Stock Hopping,1,100.0,5.0,1.5,353204.0301187295,76.60201505936475,31.61764705882353,100.0,136,False
200000.0,Equities Stock Hopping,1,100.0,3.0,1.5,346965.0733591049,73.48253667955247,40.963855421686745,100.0,166,False
200000.0,Equities Stock Hopping,2,50.0,5.0,1.5,344948.85585737345,72.47442792868672,31.92307692307692,50.4614954197031,260,False
200000.0,Equities Stock Hopping,2,50.0,3.0,1.5,336444.7263511035,68.22236317555175,42.901234567901234,50.556958779722315,324,False
200000.0,Equities Stock Hopping,2,50.0,4.0,1.5,323389.1328779417,61.694566438970845,34.96503496503497,51.14973330679524,286,False
100000.0,Equities Stock Hopping,1,100.0,4.0,1.0,223157.94855766417,123.15794855766416,30.23255813953488,100.0,172,False
100000.0,Equities Stock Hopping,1,100.0,3.0,1.0,218720.2375724832,118.72023757248317,35.82887700534759,100.0,187,False
100000.0,Equities Stock Hopping,1,100.0,5.0,1.0,199286.29221354713,99.28629221354713,25.153374233128833,100.0,163,False
100000.0,Equities Stock Hopping,2,50.0,3.0,1.0,183488.14867853193,83.48814867853194,35.50135501355013,50.39323181667519,369,False
100000.0,Equities Stock Hopping,1,100.0,4.0,1.5,182302.78712917492,82.30278712917492,35.76158940397351,100.0,151,False
100000.0,Equities Stock Hopping,2,50.0,4.0,1.0,181823.89837206696,81.82389837206696,27.988338192419825,49.99999999999999,343,False
100000.0,Equities Stock Hopping,2,50.0,5.0,1.0,178912.10804446286,78.91210804446287,24.050632911392405,50.0,316,False
100000.0,Equities Stock Hopping,1,100.0,5.0,1.5,176602.01505936476,76.60201505936475,31.61764705882353,100.0,136,False
