Pair,Direction,Entry Time,Exit Time,Hold (mins),Entry Z-score,Exit Z-score,Entry Price A,Entry Price B,Exit Price A,Exit Price B,PnL A ($),PnL B ($),Total PnL ($),Return %,Exit Reason,Win
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 01:23,2026-05-22 01:29,5,3.83,0.343,2144.25,87.81,2142.93,87.8,0.6156,-0.0602,0.5554,0.028,Mean Reversion,True
BTCUSDT__ETHUSDT,LONG_SPREAD,2026-05-22 01:24,2026-05-22 01:38,13,-2.005,0.121,77717.44,2142.54,77737.57,2142.88,0.259,-0.1212,0.1378,0.007,Mean Reversion,True
BTCUSDT__BNBUSDT,SHORT_SPREAD,2026-05-22 01:39,2026-05-22 01:45,5,2.502,0.497,77712.0,657.19,77715.27,657.47,-0.0421,0.5379,0.4958,0.025,Mean Reversion,True
ETHUSDT__BNBUSDT,LONG_SPREAD,2026-05-22 01:50,2026-05-22 02:04,14,-2.342,-0.491,2140.08,657.62,2140.76,657.99,0.3177,-0.6651,-0.3474,-0.017,Mean Reversion,False
BTCUSDT__ETHUSDT,SHORT_SPREAD,2026-05-22 08:43,2026-05-22 08:43,0,3.918,3.828,77720.11,2137.02,77720.1,2136.85,0.0001,-0.0372,-0.0371,-0.002,Stop Loss,False
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 08:43,2026-05-22 08:43,0,8.309,6.074,2137.02,87.06,2136.85,87.07,0.0796,0.0632,0.1428,0.007,Stop Loss,True
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 08:43,2026-05-22 08:44,0,6.074,4.972,2136.85,87.07,2136.42,87.05,0.2012,-0.1216,0.0796,0.004,Stop Loss,True
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 08:44,2026-05-22 08:44,0,4.972,4.197,2136.42,87.05,2136.42,87.07,0.0,0.1174,0.1174,0.006,Stop Loss,True
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 08:44,2026-05-22 08:44,0,4.197,3.829,2136.42,87.07,2136.58,87.08,-0.0749,0.0569,-0.018,-0.001,Stop Loss,False
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 08:44,2026-05-22 08:44,0,3.829,3.601,2136.58,87.08,2136.58,87.07,0.0,-0.0554,-0.0554,-0.003,Stop Loss,False
BTCUSDT__ETHUSDT,SHORT_SPREAD,2026-05-22 08:43,2026-05-22 09:01,17,3.828,0.474,77720.1,2136.85,77750.61,2137.33,-0.3926,0.1042,-0.2883,-0.014,Mean Reversion,False
ETHUSDT__SOLUSDT,SHORT_SPREAD,2026-05-22 08:44,2026-05-22 09:11,26,3.601,0.301,2136.58,87.07,2137.88,87.0,-0.6084,-0.3774,-0.9858,-0.049,Mean Reversion,False
SOLUSDT__AVAXUSDT,LONG_SPREAD,2026-05-22 11:54,2026-05-22 12:05,10,-2.914,-0.492,86.65,9.51,86.71,9.493,0.6924,2.2735,2.9659,0.148,Mean Reversion,True
BTCUSDT__BNBUSDT,LONG_SPREAD,2026-05-22 11:54,2026-05-22 12:07,12,-2.02,-0.495,77442.97,656.76,77413.41,656.5,-0.3817,0.3338,-0.0479,-0.002,Mean Reversion,False
BTCUSDT__BNBUSDT,SHORT_SPREAD,2026-05-22 12:13,2026-05-22 12:14,1,2.037,4.109,77412.0,656.1,77468.01,656.36,-0.7235,0.3083,-0.4153,-0.021,Stop Loss,False
BTCUSDT__ETHUSDT,SHORT_SPREAD,2026-05-22 12:16,2026-05-22 12:25,8,2.824,0.409,77468.61,2127.01,77452.2,2126.26,0.2118,-0.2127,-0.0008,-0.0,Mean Reversion,False
BTCUSDT__ETHUSDT,SHORT_SPREAD,2026-05-26 00:50,2026-05-26 00:50,0,2.098,-0.1,77494.09,2124.36,77465.6,2124.17,0.3676,-0.06,0.3076,0.015,Mean Reversion,True
