Entry Date,Exit Date,Entry Price,Exit Price,Profit,Return %,Stock
2020-06-22,2020-06-24,9648.7177734375,9313.6103515625,-56294.40289223776,-3.858798832989368,BTC-USD
2020-07-06,2020-08-02,9375.474609375,11053.6142578125,244440.56614128733,17.428124697062213,BTC-USD
2020-09-01,2020-09-02,11970.478515625,11414.0341796875,-82836.02895909618,-5.029496654905438,BTC-USD
2020-09-24,2020-11-07,10760.06640625,14833.75390625,583566.6416874884,37.308429779381775,BTC-USD
2020-11-16,2020-11-26,16716.111328125,17150.623046875,47021.90393313579,2.1893718094526617,BTC-USD
2020-11-30,2021-01-21,19625.8359375,30825.69921875,1238705.344248775,56.43929676395151,BTC-USD
2021-01-28,2021-02-22,33466.09765625,54207.3203125,2105727.2456432628,61.32955929042462,BTC-USD
2021-03-13,2021-03-15,61243.0859375,55907.19921875,-502815.46992355864,-9.077419600477848,BTC-USD
2021-04-08,2021-04-18,58323.953125,56216.18359375,-201407.57640601043,-3.999059178810805,BTC-USD
2021-04-26,2021-05-04,54021.75390625,53333.5390625,-80669.86645949073,-1.668467979414243,BTC-USD
2021-05-05,2021-05-12,57424.0078125,49150.53515625,-701245.2492733342,-14.749716220417945,BTC-USD
2021-06-09,2021-06-21,37345.12109375,31676.693359375,-628929.9167540646,-15.517442791232238,BTC-USD
2021-07-21,2021-09-07,32110.693359375,46811.12890625,1547633.0062038703,45.19795979904718,BTC-USD
2021-09-22,2021-10-21,43574.5078125,62210.171875,2097924.0290709035,42.19685577357892,BTC-USD
2021-11-08,2021-11-16,67566.828125,60161.24609375,-800017.7947039232,-11.316183670033162,BTC-USD
2022-02-04,2022-02-17,41500.875,40538.01171875,-169934.91499799676,-2.7104324332393546,BTC-USD
2022-02-28,2022-03-04,43193.234375,39137.60546875,-594819.6284541171,-9.751579937577027,BTC-USD
2022-03-09,2022-03-10,41982.92578125,39437.4609375,-354431.57651307527,-6.4384672753404555,BTC-USD
2022-03-27,2022-03-31,46820.4921875,45538.67578125,-161023.67441270594,-3.1263852349306784,BTC-USD
2022-05-04,2022-05-05,39698.37109375,36575.140625,-410909.4128139904,-8.235563930234468,BTC-USD
2022-05-30,2022-06-01,31726.390625,29799.080078125,-295321.0409586653,-6.450111817178038,BTC-USD
2022-06-06,2022-06-12,31370.671875,26762.6484375,-643761.8780343607,-15.029856547043583,BTC-USD
2022-07-04,2022-07-25,20231.26171875,21361.701171875,188002.03403725429,5.165659511357259,BTC-USD
2022-07-27,2022-08-19,22930.548828125,20877.552734375,-356601.75366038084,-9.31692830594694,BTC-USD
2022-09-09,2022-09-13,21381.15234375,20296.70703125,-189206.95638811868,-5.451300917078881,BTC-USD
2022-10-04,2022-11-08,20336.84375,18541.271484375,-301697.9270170168,-9.193477657891544,BTC-USD
2022-11-10,2022-12-15,17586.771484375,17364.865234375,-49358.08711676067,-1.6563372744984157,BTC-USD
2022-12-20,2023-01-30,16906.3046875,22840.138671875,1012769.8627753854,34.55849695269007,BTC-USD
2023-02-15,2023-03-03,24307.841796875,22362.6796875,-330052.733951197,-8.369823180549938,BTC-USD
2023-03-12,2023-04-17,22163.94921875,29445.044921875,1167830.0634895512,32.32020265394375,BTC-USD
2023-04-18,2023-04-19,30397.552734375,28822.6796875,-265822.8280902514,-5.559817560559937,BTC-USD
2023-05-28,2023-06-05,28085.646484375,25760.09765625,-390426.9262098186,-8.646716320774127,BTC-USD
2023-06-06,2023-07-14,27238.783203125,30334.068359375,450377.0255239876,10.918513491985694,BTC-USD
2023-08-08,2023-08-16,29765.4921875,28701.779296875,-181133.31531112734,-3.9589642706804833,BTC-USD
2023-08-29,2023-08-31,27727.392578125,25931.47265625,-301032.56402154453,-6.850777913059093,BTC-USD
2023-09-12,2023-11-16,25833.34375,36154.76953125,1612463.5104370844,39.394634394562715,BTC-USD
2023-11-22,2023-12-11,37432.33984375,41243.83203125,555839.974516009,9.742062211245935,BTC-USD
2024-01-01,2024-01-03,44167.33203125,42848.17578125,-211284.25391824543,-3.3743889247541135,BTC-USD
2024-01-08,2024-01-12,46970.50390625,42853.16796875,-552398.2083909456,-9.130362333908204,BTC-USD
2024-01-26,2024-03-05,41816.87109375,63801.19921875,2856793.28630683,51.96318606479762,BTC-USD
2024-03-20,2024-04-02,67913.671875,65446.97265625,-335617.3924664296,-4.017196016887254,BTC-USD
2024-05-03,2024-06-11,62889.8359375,67332.03125,532104.5820025383,6.635629515351682,BTC-USD
2024-07-15,2024-08-02,64870.15234375,61415.06640625,-487789.8508759476,-5.7044733350559165,BTC-USD
