Stock,Entry Date,Exit Date,Entry,Exit,Invested,Profit,Return %,Exit Reason,Cumulative Profit,Equity
EASEMYTRIP.NS,2025-08-14 00:00:00+05:30,2025-08-25 00:00:00+05:30,9.18999958,8.81000042,12756583.18,-527474.5509,-4.134920328,Stop Loss,258904078.3,259004078.3
INTLCONV.NS,2025-08-14 00:00:00+05:30,2025-08-25 00:00:00+05:30,87.87573242,86.00054932,12756583.18,-272213.1423,-2.133903245,UT Sell,258631865.2,258731865.2
INDIANHUME.NS,2025-08-19 00:00:00+05:30,2025-08-25 00:00:00+05:30,392.8500061,369.8500061,15295755.97,-895513.2539,-5.854651812,Stop Loss,257736351.9,257836351.9
SHAHALLOYS.NS,2025-08-25 00:00:00+05:30,2025-08-26 00:00:00+05:30,58.72000122,56.11000061,13037907.13,-579512.0035,-4.444823835,Stop Loss,257156839.9,257256839.9
INDUSINDBK.NS,2025-08-18 00:00:00+05:30,2025-08-26 00:00:00+05:30,788.6500244,756.4000244,11808282.18,-482872.1088,-4.089266341,Stop Loss,256673967.8,256773967.8
RAMAPHO.NS,2025-08-22 00:00:00+05:30,2025-08-26 00:00:00+05:30,144.7978973,144.7281189,12752571.16,-6145.493604,-0.048190232,UT Sell,256667822.3,256767822.3
INDIANB.NS,2025-08-11 00:00:00+05:30,2025-08-26 00:00:00+05:30,674,655.9000244,12392703.79,-332800.6471,-2.685456318,UT Sell,256335021.7,256435021.7
EIDPARRY.NS,2025-05-06 00:00:00+05:30,2025-08-26 00:00:00+05:30,843.1500244,1131.199951,11207301.54,3828811.357,34.16354367,UT Sell,260163833,260263833
UNIONBANK.NS,2025-08-06 00:00:00+05:30,2025-08-26 00:00:00+05:30,131.0200043,129.6699982,15384679.5,-158520.917,-1.030381667,UT Sell,260005312.1,260105312.1
AFIL.NS,2025-08-22 00:00:00+05:30,2025-08-28 00:00:00+05:30,7.199999809,6.909999847,12752571.16,-513645.1733,-4.027777355,Stop Loss,259491667,259591667
STCINDIA.NS,2025-08-19 00:00:00+05:30,2025-08-29 00:00:00+05:30,122.7300034,116.4000015,15295755.97,-788903.7777,-5.157664514,Stop Loss,258702763.2,258802763.2
VIPULLTD.NS,2025-08-25 00:00:00+05:30,2025-08-29 00:00:00+05:30,10.17000008,9.68999958,13037907.13,-615359.0795,-4.719768853,Stop Loss,258087404.1,258187404.1
NRAIL.NS,2025-08-26 00:00:00+05:30,2025-08-29 00:00:00+05:30,406.4389343,405.3942566,13142067.58,-33779.30662,-0.257031905,UT Sell,258053624.8,258153624.8
KARURVYSYA.NS,2025-08-18 00:00:00+05:30,2025-09-01 00:00:00+05:30,219.9583282,209.1000061,11808282.18,-582920.1055,-4.936536038,Stop Loss,257470704.7,257570704.7
INDIASHLTR.NS,2025-08-28 00:00:00+05:30,2025-09-01 00:00:00+05:30,952.0999756,904.8499756,12916282.18,-640998.1607,-4.962714128,Stop Loss,256829706.5,256929706.5
LAGNAM.NS,2025-08-29 00:00:00+05:30,2025-09-02 00:00:00+05:30,88.87999725,85.76000214,13345896.17,-468487.0857,-3.51034565,UT Sell,256361219.4,256461219.4
INDIANHUME.NS,2025-09-02 00:00:00+05:30,2025-09-05 00:00:00+05:30,388.3500061,383.25,12877409.08,-169112.5631,-1.313249909,UT Sell,256192106.9,256292106.9
KIRIINDUS.NS,2025-08-22 00:00:00+05:30,2025-09-08 00:00:00+05:30,540.2000122,518.4500122,12752571.16,-513455.0471,-4.02628647,Stop Loss,255678651.8,255778651.8
RELINFRA.NS,2025-08-19 00:00:00+05:30,2025-09-10 00:00:00+05:30,274.8999939,261.5499878,15295755.97,-742809.8948,-4.856313714,Stop Loss,254935841.9,255035841.9
AUSOMENT.NS,2025-08-08 00:00:00+05:30,2025-09-11 00:00:00+05:30,105.9443054,101.0021515,12285818.76,-573116.292,-4.664860382,Stop Loss,254362725.6,254462725.6
NGIL.NS,2025-09-08 00:00:00+05:30,2025-09-11 00:00:00+05:30,36.06000137,34.33000183,12239116.11,-587178.7151,-4.797558171,Stop Loss,253775546.9,253875546.9
ASHIANA.NS,2025-08-26 00:00:00+05:30,2025-09-15 00:00:00+05:30,320.4264526,307.0319519,13142067.58,-549366.1101,-4.180210661,Stop Loss,253226180.8,253326180.8
UGROCAP.NS,2025-08-14 00:00:00+05:30,2025-09-15 00:00:00+05:30,171.4900055,171.3200073,12756583.18,-12645.61031,-0.099130074,UT Sell,253213535.2,253313535.2
MAGNUM.NS,2025-08-25 00:00:00+05:30,2025-09-16 00:00:00+05:30,25.10000038,27.26000023,13037907.13,1121987.13,8.605576951,UT Sell,254335522.3,254435522.3
SUPREMEINF.NS,2025-09-16 00:00:00+05:30,2025-09-18 00:00:00+05:30,108.7799988,103.3899994,14159894.26,-701616.3105,-4.954954449,Stop Loss,253633906,253733906
BCG.NS,2025-09-10 00:00:00+05:30,2025-09-19 00:00:00+05:30,15.72000027,14.89999962,14552946.07,-759123.7287,-5.216289024,Stop Loss,252874782.3,252974782.3
FIBERWEB.NS,2025-09-15 00:00:00+05:30,2025-09-19 00:00:00+05:30,48.33000183,46.09000015,12668319.52,-587151.9949,-4.634805697,Stop Loss,252287630.3,252387630.3
ASHOKAMET.NS,2025-09-18 00:00:00+05:30,2025-09-19 00:00:00+05:30,19.07999992,18.07999992,13458277.95,-705360.4821,-5.241090168,Stop Loss,251582269.8,251682269.8
